edge_type_id target_query source_query dynamics_params delay model_template
100 ei=='e'&model_type=='biophysical' * AMPA_ExcToExc.json 2.0 Exp2Syn
101 ei=='i'&model_type=='biophysical' * AMPA_ExcToInh.json 2.0 Exp2Syn
