node_type_id model_type model_name model_processing ei morphology model_template
100 biophysical Scnn1a aibs_perisomatic e Scnn1a_473845048_m.swc nml:Cell_472363762.cell.nml
101 biophysical Rorb aibs_perisomatic e Rorb_325404214_m.swc nml:Cell_473863510.cell.nml
102 biophysical Nr5a1 aibs_perisomatic e Nr5a1_471087815_m.swc nml:Cell_473863035.cell.nml
103 biophysical PV1 aibs_perisomatic i Pvalb_470522102_m.swc nml:Cell_472912177.cell.nml
104 biophysical PV2 aibs_perisomatic i Pvalb_469628681_m.swc nml:Cell_473862421.cell.nml
