edge_type_id target_query source_query params_file
0 id=='s1' * s1.json
1 id=='c1' id=='s1' c1.json
2 id=='s2' id=='c1' s2.json
3 id=='c2' id=='s2' c2.json
4 id=='s3' id=='c2' s3.json
5 id=='c3' id=='s3' c3.json
6 id=='s2b' id=='c1' s2b.json
7 id=='c2b' id=='s2b' c2b.json
8 id=='s4' * s4.json
