node_type_id model_template morphology model_name model_processing dynamics_params model_type ei
100 ctdb:Biophys1.hoc Scnn1a_473845048_m.swc Scnn1a aibs_perisomatic 472363762_fit.json biophysical e
101 ctdb:Biophys1.hoc Rorb_325404214_m.swc Rorb aibs_perisomatic 473863510_fit.json biophysical e
102 ctdb:Biophys1.hoc Nr5a1_471087815_m.swc Nr5a1 aibs_perisomatic 473863035_fit.json biophysical e
103 ctdb:Biophys1.hoc Pvalb_470522102_m.swc PV1 aibs_perisomatic 472912177_fit.json biophysical i
104 ctdb:Biophys1.hoc Pvalb_469628681_m.swc PV2 aibs_perisomatic 473862421_fit.json biophysical i
105 nrn:IntFire1 NULL LIF_exc NULL IntFire1_exc_1.json point_neuron e
106 nrn:IntFire1 NULL LIF_inh NULL IntFire1_inh_1.json point_neuron i
