node_type_id ei pop_name model_template model_type dynamics_params
100 i LIF_inh nest:iaf_psc_delta point_process iaf_psc_delta_inh.json
101 e LIF_exc nest:iaf_psc_delta point_process iaf_psc_delta_exc.json
