node_type_id model_template morphology ei model_type location dynamics_params model_processing pop_name
100 ctdb:Biophys1.hoc Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m e biophysical VisL5 471129934_fit.json aibs_perisomatic Rbp4
101 nrn:IntFire1 NULL e point_neuron VisL5 e5Rbp4_avg_lif.json NULL Rbp4
