node_type_id ei level_of_detail pop_name location model_template model_type dynamics_params
100 e biophysical Scnn1a VisL4 dipde:Internal population 472363762_pop.json
101 e biophysical Rorb VisL4 dipde:Internal population 473863510_pop.json
102 e biophysical Nr5a1 VisL4 dipde:Internal population 473863035_pop.json
103 i biophysical PV1 VisL4 dipde:Internal population 472912177_pop.json
104 i biophysical PV2 VisL4 dipde:Internal population 473862421_pop.json
105 e intfire LIF_exc VisL4 dipde:Internal population IntFire1_exc_pop.json
106 i intfire LIF_inh VisL4 dipde:Internal population IntFire1_inh_pop.json
