% Model:              example_comsol.mph
% Version:            COMSOL 6.0.0.318
% Date:               Sep 14 2023, 09:38
% Dimension:          3
% Nodes:              12760
% Expressions:        1
% Description:        Electric potential
% Length unit:        µm
% x                       y                        z                        V (mV)
-68.098574960932          -99.99999999999999       -133.65097862825516      0
-61.35819786222578        -90.1711484348879        -123.90406905328746      0.002922947620242208
-78.09922138231524        -79.77183405704605       -128.06448227153425      0
-88.16778784387097        -99.99999999999997       -121.35254915624212      0
-57.81820220096141        -80.34229686977582       -138.40901522028375      0
-66.3554581387768         -69.57834012870681       -116.67579569885527      0.012543586461800312
-97.41720724952754        -79.34816870429053       -114.06089484000464      0
-81.22480784498869        -78.58975237788664       -106.77415145696665      0.008601543167609275
-114.06089484000462       -79.3481687042905        -97.41720724952756       0
-98.75382079789209        -81.38612652821789       -91.23152194028485       0.00698065115062567
-121.35254915624213       -99.99999999999997       -88.16778784387097       0
-106.06601717798212       -99.99999999999997       -106.06601717798215      0
-79.90412143634148        -58.99746972777752       -109.0987264638081       0.015901353105443054
-87.12978499420507        -59.13082450943372       -122.09996137126167      0
-67.67850783710372        -61.32534420593092       -133.86418332378187      0
-53.978049654612406       -45.203514721641284      -139.95131351825245      0
-50.89668029885889        -63.47561457925226       -141.10112662397756      0
-51.75317336842258        -50.32488211354565       -122.06037974884154      0.023868666972847466
-75.77063876438807        -36.38930368257293       -129.4558237439962       0
-106.0660171779821        -58.696337408581044      -106.06601717798215      0
-96.41242050980293        -38.98557999858987       -114.91146666647731      0
-10.000000000000012       -49.999999999999986      -59.99999999999999       0.11747335162660517
-10.605863297951018       -51.56249999999999       -59.24815152708697       0.11761233773450576
-12.499996747955286       -49.999999999999986      -59.330121675505076      0.12153898949662391
-11.495578737292332       -49.999999999999986      -61.870928554580246      0.11712714572470415
-14.330121703678683       -49.99999999999998       -57.49999676785358       0.1283216549282328
-14.877712941716073       -52.14270861114405       -58.808793343725256      0.12224618445774922
-15.149163178629587       -49.999999999999986      -60.94619498178506       0.12262622536447025
-13.154997074139677       -51.549102135963         -56.816344393840765      0.12498616973244042
-16.384287729612602       -49.999999999999986      -57.79121830176446       0.13198489170279615
-15.689094602793327       -53.11279296874998       -56.503684995062414      0.12621277564110264
-14.999999999999998       -49.999999999999986      -54.999999999999986      0.13640529070550572
-95.77775515663407        -99.99999999999997       -83.45092092794522       0
-82.59151700384963        -99.99999999999997       -97.10908848102902       0
-11.206117479154441       -49.999999999999986      -56.20400238940108       0.12444399186653786
-46.35254915624207        -99.99999999999997       -142.65847744427302      0
-47.65253222795599        -79.08681646062928       -125.67927564573826      0.008445716294305296
-64.89819352349015        -99.99999999999997       -109.39912288629117      0
-48.59621544765573        -99.99999999999997       -118.46617445469903      0
-35.00288783145136        -79.40650855616754       -145.8588284728039       0
-32.97240554574973        -69.34218023797528       -133.32139507785814      0.010062960567823985
-25.121616331730717       -84.48226783363558       -131.99502642354003      0.0062316255893924396
-23.46516975603462        -99.99999999999997       -148.15325108927064      0
-14.370847232923687       -84.90974921330967       -149.3100088735111       0
-52.58268504602713        -69.57834012870681       -123.4068596974873       0.012684684173501234
-35.148478084526054       -55.071477113773696      -145.82381317309458      0
-37.4566663770877         -47.15271323553772       -131.8217219431774       0.018637155226649275
-37.95531965679446        -33.52386946887712       -145.11855053627895      0
-50.92366169081804        -31.071424098384476      -120.71389980019573      0.03773059804105316
-56.917834089763055       -22.601065084204908      -138.78169966724795      0
-76.04377514835659        -11.020124249315618      -129.29556937956607      0
-53.55555584466244        -8.303702817326238       -119.64108157992878      0.0501809965371877
-59.241837962301226       0.3319278404751889       -137.80567707771857      0
-40.09748421977205        -10.72328836373344       -144.5413150598995       0
-37.03830536665427        1.3468502221574465       -133.0802890164948       0.03239965789326031
-41.774083065527286       15.28616270002695        -144.06570023442228      0
-51.34043647730472        12.703178193462108       -126.47022455920792      0.03931070128455056
-76.60761808127178        10.538902287180987       -128.962292364528        0
-62.03189143096315        18.6522579479386         -136.5724878791376       0
-137.36289052734736       -89.18363236506693       -2.8767175439086103      0.0021831746224133123
-150                      -77.77777777777777       -7.824132327885868E-15   0
-149.00244599155982       -85.6133034206387        -17.270526585263656      0
-150                      -99.99999999999997       -9.184850993605149E-15   0
-148.15325108927064       -99.99999999999996       -23.46516975603461       0
-123.34166874342974       -82.66000284454596       -58.482644073607055      0.00490510897878325
-138.40201627997968       -81.60073087293841       -57.834953874246644      0
-127.89602465311378       -79.34816870429053       -78.37478470739237       0
-133.6509786282551        -99.99999999999996       -68.09857496093201       0
-142.65847744427302       -99.99999999999997       -46.35254915624212       0
-132.28414043861147       -75.64760010245968       -42.81564304803717       0.005171174639917064
-145.7154152013774        -84.09290983304061       -35.595193112135156      0
-132.99949356060557       -85.55745336007195       -20.369070757516166      0.003935404733968325
-107.90776345334841       -99.99999999999997       -66.44884259802322       0
-126.63156511566145       -99.99999999999999       -11.605362532058528      0
-124.15594622251555       -99.99999999999999       -29.80948797072738       0
-100.31618014403314       -82.7317223193998        -79.35742988424865       0.009098138201939499
-116.14299225679048       -99.99999999999997       -49.13909298419035       0
-90.84451562640301        -66.84816870429052       -93.919796878843         0.016271099690149896
-90.34312256873665        -20.888908692121607      -119.74188993217965      0
-85.98970228654056        -36.19891516286258       -102.85095449993592      0.027763415480791136
-148.36893339235272       -65.82700672996003       -22.06036273535877       0
-136.54735722352376       -72.09713573004694       -13.90689891158799       0.006042563901928728
-121.5196238678067        -58.62057228537309       -87.93736984369492       0
-104.85460513143222       -65.46344463879959       -75.26393884055206       0.017285580435440987
-133.80006042757987       -59.87709926461384       -67.805190284933         0
-121.04069081722984       -71.79818704038365       -63.467762278950254      0.008127207333462599
-142.55225722108997       -65.7935969054142        -46.67819577888803       0
-125.60356809075056       -66.61607326886056       -49.245010863399884      0.010330181277655108
-91.47002442005284        -48.039253524568466      -91.86800037519895       0.027942285127777636
-104.94808059561763       -18.898300111261097      -107.17229296462656      0
-23.13793462438783        -53.85069351126237       -77.25084148633432       0.09423652920753778
-24.440132812774223       -58.45168853468595       -71.26896731589196       0.08993056939723341
-18.210495284169944       -49.999999999999986      -72.75548473592778       0.10622394298123151
-27.268091916996493       -49.999999999999986      -69.86727200987467       0.10952138622439464
-23.054684673764054       -41.53723009846026       -71.36863116659383       0.14117990940386266
-18.552846808155735       -43.927623815443276      -81.32498023200608       0.11609229822488573
-14.160885680844158       -42.76456135746642       -73.65099671242788       0.1294354692957085
-18.15447230214121        -35.89757705488897       -72.769603100682         0.16157024335287593
-71.94286019342653        -47.32412605077766       -108.38859716665279      0.029059973984524746
-61.433260942122274       -39.19777507458107       -114.55124848342427      0.03465039139965264
-20.790205510027103       -32.25009044137855       -77.19289064986694       0.16676560331756016
-31.395759333642953       -44.62848851620311       -78.10837196664308       0.11705514971281265
-71.41071992375093        -27.840935818950427      -108.80921567893611      0.04120747945405323
-113.587496478748         -38.935024173809886      -97.96877381946972       0
-81.1636172010889         -18.83430814784676       -99.98001682310066       0.049090957319872223
-93.88788558112702        0.2238423008812736       -116.98318230029989      0
-104.9946766132799        -13.487164165803565      -91.1869729572049        0.02384808794849352
-119.07283874813297       -17.146647854864035      -91.22312794714463       0
-16.90629566887895        -55.04797399658296       -67.27334263741959       0.10200004336893867
-20.46446739180817        -49.999999999999986      -62.628554638715734      0.12127889865268983
-27.50042463285103        -99.99999999999997       -124.03334447555724      0
-35.12892366228785        -23.058165862294594      -133.60671416742312      0.02547745714932688
-16.241879425781377       -66.46421688882867       -149.1180785576262       0
-19.604473970485703       -55.98265455687931       -138.42666640625058      0.011812546807018631
-11.24589347290719        -71.57092882886201       -130.68452407616212      0.014025900421956158
1.3607186657192822E-15    -77.77777777777777       -150                     0
-4.060469856445343        -56.89383199998495       -131.02951963940654      0.021905585455967328
5.624099184981967E-31     -99.99999999999997       -150                     0
-8.910870171568618        -99.99999999999997       -128.11573353461947      0
-13.414053925840463       -49.999999999999986      -66.80334893117956       0.1100933639027803
-9.52163533806879         -49.99999999999999       -74.3930892546255        0.10278046390315915
-12.810758984460712       -56.37458372523508       -80.15842457812022       0.08578249785429953
-17.302204609929767       -58.84151355555178       -75.69988422135862       0.08484166238490226
-6.767627009636297        -43.692176973624555      -74.69403741034782       0.12230973937037655
-11.230282820403295       -46.978319307930256      -83.34310080570332       0.10443948991289174
-13.902139479243546       -36.739815972757214      -79.64869006698422       0.14198769341950895
-17.1411767013204         -27.25275219486133       -73.01493039984433       0.2009025209159734
-8.953286875740407        -34.164996579156806      -74.46367338589128       0.15907203401633477
-19.1804959423435         -44.073170736251335      -148.76864110223548      0
-20.380071390307258       -22.37605475864991       -148.60905991939381      0
