edge_type_id target_query source_query target_sections model_template syn_weight distance_range delay dynamics_params weight_function
100 pop_name=='Rorb' * "['basal', 'apical']" exp2syn 0.00015 "[30.0, 150.0]" 2.0 AMPA_ExcToExc.json wmax
101 pop_name=='Scnn1a' * "['basal', 'apical']" exp2syn 0.00019 "[30.0, 150.0]" 2.0 AMPA_ExcToExc.json wmax
102 pop_name=='Nr5a1' * "['basal', 'apical']" exp2syn 0.00019 "[30.0, 150.0]" 2.0 AMPA_ExcToExc.json wmax
103 pop_name=='PV1' * "['basal', 'somatic']" exp2syn 0.0022 "[0.0, 1e+20]" 2.0 AMPA_ExcToInh.json wmax
104 pop_name=='PV2' * "['basal', 'somatic']" exp2syn 0.0013 "[0.0, 1e+20]" 2.0 AMPA_ExcToInh.json wmax
105 pop_name=='LIF_exc' * NULL NULL 0.015 NULL 2.0 instantaneousExc.json wmax
106 pop_name=='LIF_inh' * NULL NULL 0.05 NULL 2.0 instantaneousExc.json wmax
