edge_type_id target_query source_query distance_range dynamics_params target_sections weight_function model_template syn_weight delay
100 pop_name=='Rorb' * "[0.0, 150.0]" AMPA_ExcToExc.json "['basal', 'apical']" wmax exp2syn 5e-05 2.0
101 pop_name=='Nr5a1' * "[0.0, 150.0]" AMPA_ExcToExc.json "['basal', 'apical']" wmax exp2syn 5e-05 2.0
102 pop_name=='Scnn1a' * "[0.0, 150.0]" AMPA_ExcToExc.json "['basal', 'apical']" wmax exp2syn 4e-05 2.0
103 pop_name=='PV1' * "[0.0, 1e+20]" AMPA_ExcToInh.json "['somatic', 'basal']" wmax exp2syn 0.0001 2.0
104 pop_name=='PV2' * "[0.0, 1e+20]" AMPA_ExcToInh.json "['somatic', 'basal']" wmax exp2syn 9e-05 2.0
105 pop_name=='LIF_exc' * NULL instanteneousExc.json NULL wmax NULL 0.0045 2.0
106 pop_name=='LIF_inh' * NULL instanteneousExc.json NULL wmax NULL 0.002 2.0
