node_type_id model_processing ei dynamics_params model_type model_template morphology model_name
100 aibs_perisomatic e 472363762_fit.json biophysical ctdb:Biophys1.hoc Scnn1a_473845048_m.swc Scnn1a
101 aibs_perisomatic e 473863510_fit.json biophysical ctdb:Biophys1.hoc Rorb_325404214_m.swc Rorb
102 aibs_perisomatic e 473863035_fit.json biophysical ctdb:Biophys1.hoc Nr5a1_471087815_m.swc Nr5a1
103 aibs_perisomatic i 472912177_fit.json biophysical ctdb:Biophys1.hoc Pvalb_470522102_m.swc PV1
104 aibs_perisomatic i 473862421_fit.json biophysical ctdb:Biophys1.hoc Pvalb_469628681_m.swc PV2
105 NULL e IntFire1_exc_1.json point_neuron nrn:IntFire1 NULL LIF_exc
106 NULL i IntFire1_inh_1.json point_neuron nrn:IntFire1 NULL LIF_inh
