edge_type_id target_query source_query syn_weight weight_function weight_sigma distance_range target_sections delay dynamics_params model_template
30 pop_name=='Rorb' * 0.00015 wmax NONE "[30.0, 150.0]" "['basal', 'apical']" 2.0 AMPA_ExcToExc.json exp2syn
31 pop_name=='Scnn1a' * 0.00019 wmax NONE "[30.0, 150.0]" "['basal', 'apical']" 2.0 AMPA_ExcToExc.json exp2syn
32 pop_name=='Nr5a1' * 0.00019 wmax NONE "[30.0, 150.0]" "['basal', 'apical']" 2.0 AMPA_ExcToExc.json exp2syn
33 pop_name=='PV1' * 0.0022 wmax NONE "[0.0, 1e+20]" "['somatic', 'basal']" 2.0 AMPA_ExcToInh.json exp2syn
34 pop_name=='PV2' * 0.0013 wmax NONE "[0.0, 1e+20]" "['somatic', 'basal']" 2.0 AMPA_ExcToInh.json exp2syn
35 pop_name=='LIF_exc' * 0.015 wmax NONE NONE NONE 2.0 instanteneousExc.json NONE
36 pop_name=='LIF_inh' * 0.05 wmax NONE NONE NONE 2.0 instanteneousExc.json NONE
