node_type_id model_template rotation_angle_zaxis model_processing pop_name morphology model_type dynamics_params synapse_model
100 ctdb:Biophys1.hoc 3.646878266 aibs_perisomatic,extracellular Scnn1a Scnn1a_473845048_m.swc biophysical 472363762_fit.json a
101 ctdb:Biophys1.hoc 3.646878266 aibs_perisomatic,extracellular Scnn1a Scnn1a_473845048_m.swc biophysical 472363762_fit.json b
