edge_type_id target_query source_query dynamics_params delay syn_weight model_template
100 ei=='e'&placement=='core' * ExcToExc.json 2.0 5.0 static_synapse
101 ei=='i'&placement=='core' * ExcToInh.json 0.8 9.0 static_synapse
102 placement=='outer' * instantaneousExc.json 0.8 15.0 static_synapse
