node_type_id dynamics_params ei model_template model_type model_name placement
100 472363762_point.json e nest:iaf_psc_alpha point_neuron Scnn1a inner
101 473863510_point.json e nest:iaf_psc_alpha point_neuron Rorb inner
102 473863035_point.json e nest:iaf_psc_alpha point_neuron Nr5a1 inner
103 472912177_point.json i nest:iaf_psc_alpha point_neuron PV1 inner
104 473862421_point.json i nest:iaf_psc_alpha point_neuron PV2 inner
105 IntFire1_exc_point.json e nest:iaf_psc_alpha point_neuron LIF_exc outer
106 IntFire1_inh_point.json i nest:iaf_psc_alpha point_neuron LIF_inh outer
