edge_type_id target_query source_query syn_weight weight_function weight_sigma distance_range target_sections delay dynamics_params model_template
0 pop_name=='Rorb' * 5e-05 wmax NONE "[0.0, 150.0]" "['basal', 'apical']" 2.0 ExcToExc.json exp2syn
1 pop_name=='Nr5a1' * 5e-05 wmax NONE "[0.0, 150.0]" "['basal', 'apical']" 2.0 ExcToExc.json exp2syn
2 pop_name=='Scnn1a' * 4e-05 wmax NONE "[0.0, 150.0]" "['basal', 'apical']" 2.0 ExcToExc.json exp2syn
3 pop_name=='PV1' * 0.0001 wmax NONE "[0.0, 1e+20]" "['somatic', 'basal']" 2.0 ExcToInh.json exp2syn
4 pop_name=='PV2' * 9e-05 wmax NONE "[0.0, 1e+20]" "['somatic', 'basal']" 2.0 ExcToInh.json exp2syn
5 pop_name=='LIF_exc' * 0.0045 wmax NONE NONE NONE 2.0 instantaneousExc.json NONE
6 pop_name=='LIF_inh' * 0.002 wmax NONE NONE NONE 2.0 instantaneousExc.json NONE
