edge_type_id target_query source_query weight_max weight_function delay params_file synapse_model
4 pop_name=='Rorb' * 4.125 wmax 2.0 ExcToExc.json static_synapse
5 pop_name=='PV1' * 1.54 wmax 2.0 ExcToInh.json static_synapse
