edge_type_id target_query source_query syn_weight delay distance_range model_template dynamics_params target_sections
100 ei=='e' * 0.0003 2.0 "[0.0, 50.0]" exp2syn LGN_ExcToExc.json "['basal', 'apical', 'somatic']"
101 ei=='i' * 0.002 2.0 "[0.0, 1e+20]" exp2syn LGN_ExcToInh.json "['basal', 'apical']"
