edge_type_id target_query source_query syn_weight delay dynamics_params model_template
100 ei=='e' * 0.00034 2.0 AMPA_ExcToExc.json Exp2Syn
101 ei=='e' * 0.00034 2.0 AMPA_ExcToInh.json Exp2Syn
