node_type_id ei model_processing model_type model_template morphology dynamics_params model_name
100 e aibs_perisomatic biophysical ctdb:Biophys1.hoc Scnn1a_473845048_m.swc 472363762_fit.json Scnn1a
101 e aibs_perisomatic biophysical ctdb:Biophys1.hoc Rorb_325404214_m.swc 473863510_fit.json Rorb
102 e aibs_perisomatic biophysical ctdb:Biophys1.hoc Nr5a1_471087815_m.swc 473863035_fit.json Nr5a1
103 i aibs_perisomatic biophysical ctdb:Biophys1.hoc Pvalb_470522102_m.swc 472912177_fit.json PV1
104 i aibs_perisomatic biophysical ctdb:Biophys1.hoc Pvalb_469628681_m.swc 473862421_fit.json PV2
105 e NULL point_process nrn:IntFire1 NULL IntFire1_exc_1.json LIF_exc
106 i NULL point_process nrn:IntFire1 NULL IntFire1_inh_1.json LIF_inh
