node_type_id model_template model_name model_type morphology dynamics_params ei model_processing
100 ctdb:Biophys1.hoc Scnn1a biophysical Scnn1a_473845048_m.swc 472363762_fit.json e aibs_perisomatic
101 ctdb:Biophys1.hoc Rorb biophysical Rorb_325404214_m.swc 473863510_fit.json e aibs_perisomatic
102 ctdb:Biophys1.hoc Nr5a1 biophysical Nr5a1_471087815_m.swc 473863035_fit.json e aibs_perisomatic
103 ctdb:Biophys1.hoc PV1 biophysical Pvalb_470522102_m.swc 472912177_fit.json i aibs_perisomatic
104 ctdb:Biophys1.hoc PV2 biophysical Pvalb_469628681_m.swc 473862421_fit.json i aibs_perisomatic
105 nrn:IntFire1 LIF_exc point_neuron NULL IntFire1_exc_1.json e NULL
106 nrn:IntFire1 LIF_inh point_neuron NULL IntFire1_inh_1.json i NULL
