node_type_id morphology dynamics_params model_processing model_template model_type model_name ei
100 Scnn1a_473845048_m.swc NULL aibs_perisomatic nml:Cell_472363762.cell.nml biophysical Scnn1a e
101 Rorb_325404214_m.swc NULL aibs_perisomatic nml:Cell_473863510.cell.nml biophysical Rorb e
102 Nr5a1_471087815_m.swc NULL aibs_perisomatic nml:Cell_473863035.cell.nml biophysical Nr5a1 e
103 Pvalb_470522102_m.swc NULL aibs_perisomatic nml:Cell_472912177.cell.nml biophysical PV1 i
104 Pvalb_469628681_m.swc NULL aibs_perisomatic nml:Cell_473862421.cell.nml biophysical PV2 i
105 NULL IntFire1_exc_1.json NULL nrn:IntFire1 point_neuron LIF_exc e
106 NULL IntFire1_inh_1.json NULL nrn:IntFire1 point_neuron LIF_inh i
