node_type_id model_template dynamics_params model_type ei pop_name
100 glif_psc_double_alpha 354833767_glif_lif_asc_config.json point_neuron e e4Nr5a1
101 glif_psc_double_alpha 501570114_glif_lif_asc_config.json point_neuron i i4Vip
