edge_type_id target_query source_query syn_weight weight_function weight_sigma distance_range target_sections delay dynamics_params model_template
0 pop_name=='Rorb' * 0.00015 wmax NONE "[30.0, 150.0]" "['basal', 'apical']" 2.0 ExcToExc.json static_synapse
1 pop_name=='Scnn1a' * 0.00019 wmax NONE "[30.0, 150.0]" "['basal', 'apical']" 2.0 ExcToExc.json static_synapse
2 pop_name=='Nr5a1' * 0.00019 wmax NONE "[30.0, 150.0]" "['basal', 'apical']" 2.0 ExcToExc.json static_synapse
3 pop_name=='PV1' * 0.0022 wmax NONE "[0.0, 1e+20]" "['somatic', 'basal']" 2.0 ExcToInh.json static_synapse
4 pop_name=='PV2' * 0.0013 wmax NONE "[0.0, 1e+20]" "['somatic', 'basal']" 2.0 ExcToInh.json static_synapse
5 pop_name=='LIF_exc' * 0.015 wmax NONE NONE NONE 2.0 instanteneousExc.json static_synapse
6 pop_name=='LIF_inh' * 0.05 wmax NONE NONE NONE 2.0 instanteneousExc.json static_synapse
