node_type_id name dynamics_params model_type morphology_file rotation_angle_zaxis location ei
100000101 LIF_exc IntFire1_exc_pop.json internal NULL NULL VisL4 e
100000102 LIF_inh IntFire1_inh_pop.json internal NULL NULL VisL4 i
318331342 PV2 473862421_pop.json internal Pvalb_469628681_m.swc -3.684439949 VisL4 i
330080937 PV1 472912177_pop.json internal Pvalb_470522102_m.swc -2.539551891 VisL4 i
318808427 Nr5a1 473863035_pop.json internal Nr5a1_471087815_m.swc -2.639275277 VisL4 e
314804042 Rorb 473863510_pop.json internal Rorb_325404214_m.swc -4.159763785 VisL4 e
395830185 Scnn1a 472363762_pop.json internal Scnn1a_473845048_m.swc -3.646878266 VisL4 e
