edge_type_id target_query source_query delay dynamics_params model_template
100 model_type=='biophysical'&ei=='e' ei=='e' 2.0 AMPA_ExcToExc.json Exp2Syn
101 model_type=='biophysical'&ei=='i' ei=='e' 2.0 AMPA_ExcToInh.json Exp2Syn
102 model_type=='biophysical'&ei=='e' ei=='i' 2.0 GABA_InhToExc.json Exp2Syn
103 model_type=='biophysical'&ei=='i' ei=='i' 2.0 GABA_InhToInh.json Exp2Syn
104 model_type=='point_process' ei=='e' 2.0 instanteneousExc.json NULL
105 model_type=='point_process' ei=='i' 2.0 instanteneousInh.json NULL
