node_type_id model_processing model_template dynamics_params morphology model_name model_type ei
100 aibs_perisomatic nml:Cell_472363762.cell.nml NULL Scnn1a_473845048_m.swc Scnn1a biophysical e
101 aibs_perisomatic nml:Cell_473863510.cell.nml NULL Rorb_325404214_m.swc Rorb biophysical e
102 aibs_perisomatic nml:Cell_473863035.cell.nml NULL Nr5a1_471087815_m.swc Nr5a1 biophysical e
103 aibs_perisomatic nml:Cell_472912177.cell.nml NULL Pvalb_470522102_m.swc PV1 biophysical i
104 aibs_perisomatic nml:Cell_473862421.cell.nml NULL Pvalb_469628681_m.swc PV2 biophysical i
105 NULL nrn:IntFire1 IntFire1_exc_1.json NULL LIF_exc point_neuron e
106 NULL nrn:IntFire1 IntFire1_inh_1.json NULL LIF_inh point_neuron i
