edge_type_id target_query source_query model_template delay dynamics_params
100 ei=='e'&model_type=='biophysical' * Exp2Syn 2.0 AMPA_ExcToExc.json
101 ei=='i'&model_type=='biophysical' * Exp2Syn 2.0 AMPA_ExcToInh.json
102 model_type=='point_neuron' * NULL 2.0 instanteneousExc.json
