node_type_id model_type model_template model_processing dynamics_params morphology_file name rotation_angle_zaxis location ei
100000101 point_process nrn:IntFire1 NONE IntFire1_exc_1.json NONE LIF_exc NONE VisL4 e
100000102 point_process nrn:IntFire1 NONE IntFire1_inh_1.json NONE LIF_inh NONE VisL4 i
318331342 biophysical ctdb:Biophys1.hoc aibs_perisomatic 473862421_fit.json Pvalb_469628681_m.swc PV2 -3.684439949 VisL4 i
330080937 biophysical ctdb:Biophys1.hoc aibs_perisomatic 472912177_fit.json Pvalb_470522102_m.swc PV1 -2.539551891 VisL4 i
318808427 biophysical ctdb:Biophys1.hoc aibs_perisomatic 473863035_fit.json Nr5a1_471087815_m.swc Nr5a1 -2.639275277 VisL4 e
314804042 biophysical ctdb:Biophys1.hoc aibs_perisomatic 473863510_fit.json Rorb_325404214_m.swc Rorb -4.159763785 VisL4 e
395830185 biophysical ctdb:Biophys1.hoc aibs_perisomatic 472363762_fit.json Scnn1a_473845048_m.swc Scnn1a -3.646878266 VisL4 e
