node_type_id model_template location model_processing dynamics_params morphology model_type ei pop_name
100 nml:Cell_476126528.cell.nml VisL4 aibs_perisomatic NULL Scnn1a-Tg3-Cre_Ai14-187849.05.02.01_491119823_m biophysical e Scnn1a
101 nml:Cell_333604946.cell.nml VisL4 aibs_perisomatic NULL Pvalb-IRES-Cre_Ai14-176848.03.01.01_491119484_m biophysical i Pvalb
