channel x_pos y_pos z_pos
0 -80.0 0.0 10.0
1 -80.0 -20.0 10.0
2 -80.0 -40.0 10.0
3 -80.0 -60.0 10.0
4 -80.0 -80.0 10.0
5 -80.0 -100.0 10.0
6 -80.0 -120.0 10.0
7 -80.0 -140.0 10.0
8 -80.0 -160.0 10.0
9 -80.0 -180.0 10.0
10 -80.0 -200.0 10.0
11 -80.0 -220.0 10.0
12 -80.0 -240.0 10.0
13 -80.0 -260.0 10.0
14 -80.0 -280.0 10.0
15 -80.0 -300.0 10.0
16 -80.0 -320.0 10.0
17 -80.0 -340.0 10.0
18 -80.0 -360.0 10.0
19 -80.0 -380.0 10.0
20 -80.0 -400.0 10.0
21 -80.0 -420.0 10.0
22 -80.0 -440.0 10.0
23 -80.0 -460.0 10.0
24 -80.0 -480.0 10.0
25 -80.0 -500.0 10.0
26 -80.0 -520.0 10.0
27 -80.0 -540.0 10.0
28 -80.0 -560.0 10.0
29 -80.0 -580.0 10.0
30 -80.0 -600.0 10.0
31 -80.0 -620.0 10.0
32 -80.0 -640.0 10.0
33 -80.0 -660.0 10.0
34 -80.0 -680.0 10.0
35 -80.0 -700.0 10.0
36 -80.0 -720.0 10.0
37 -80.0 -740.0 10.0
38 -80.0 -760.0 10.0
39 -80.0 -780.0 10.0
40 -80.0 -800.0 10.0
41 -80.0 -820.0 10.0
42 -80.0 -840.0 10.0
43 -60.0 0.0 10.0
44 -60.0 -20.0 10.0
45 -60.0 -40.0 10.0
46 -60.0 -60.0 10.0
47 -60.0 -80.0 10.0
48 -60.0 -100.0 10.0
49 -60.0 -120.0 10.0
50 -60.0 -140.0 10.0
51 -60.0 -160.0 10.0
52 -60.0 -180.0 10.0
53 -60.0 -200.0 10.0
54 -60.0 -220.0 10.0
55 -60.0 -240.0 10.0
56 -60.0 -260.0 10.0
57 -60.0 -280.0 10.0
58 -60.0 -300.0 10.0
59 -60.0 -320.0 10.0
60 -60.0 -340.0 10.0
61 -60.0 -360.0 10.0
62 -60.0 -380.0 10.0
63 -60.0 -400.0 10.0
64 -60.0 -420.0 10.0
65 -60.0 -440.0 10.0
66 -60.0 -460.0 10.0
67 -60.0 -480.0 10.0
68 -60.0 -500.0 10.0
69 -60.0 -520.0 10.0
70 -60.0 -540.0 10.0
71 -60.0 -560.0 10.0
72 -60.0 -580.0 10.0
73 -60.0 -600.0 10.0
74 -60.0 -620.0 10.0
75 -60.0 -640.0 10.0
76 -60.0 -660.0 10.0
77 -60.0 -680.0 10.0
78 -60.0 -700.0 10.0
79 -60.0 -720.0 10.0
80 -60.0 -740.0 10.0
81 -60.0 -760.0 10.0
82 -60.0 -780.0 10.0
83 -60.0 -800.0 10.0
84 -60.0 -820.0 10.0
85 -60.0 -840.0 10.0
86 -40.0 0.0 10.0
87 -40.0 -20.0 10.0
88 -40.0 -40.0 10.0
89 -40.0 -60.0 10.0
90 -40.0 -80.0 10.0
91 -40.0 -100.0 10.0
92 -40.0 -120.0 10.0
93 -40.0 -140.0 10.0
94 -40.0 -160.0 10.0
95 -40.0 -180.0 10.0
96 -40.0 -200.0 10.0
97 -40.0 -220.0 10.0
98 -40.0 -240.0 10.0
99 -40.0 -260.0 10.0
100 -40.0 -280.0 10.0
101 -40.0 -300.0 10.0
102 -40.0 -320.0 10.0
103 -40.0 -340.0 10.0
104 -40.0 -360.0 10.0
105 -40.0 -380.0 10.0
106 -40.0 -400.0 10.0
107 -40.0 -420.0 10.0
108 -40.0 -440.0 10.0
109 -40.0 -460.0 10.0
110 -40.0 -480.0 10.0
111 -40.0 -500.0 10.0
112 -40.0 -520.0 10.0
113 -40.0 -540.0 10.0
114 -40.0 -560.0 10.0
115 -40.0 -580.0 10.0
116 -40.0 -600.0 10.0
117 -40.0 -620.0 10.0
118 -40.0 -640.0 10.0
119 -40.0 -660.0 10.0
120 -40.0 -680.0 10.0
121 -40.0 -700.0 10.0
