channel x_pos y_pos z_pos
122 -40.0 -720.0 10.0
123 -40.0 -740.0 10.0
124 -40.0 -760.0 10.0
125 -40.0 -780.0 10.0
126 -40.0 -800.0 10.0
127 -40.0 -820.0 10.0
128 -40.0 -840.0 10.0
129 -20.0 0.0 10.0
130 -20.0 -20.0 10.0
131 -20.0 -40.0 10.0
132 -20.0 -60.0 10.0
133 -20.0 -80.0 10.0
134 -20.0 -100.0 10.0
135 -20.0 -120.0 10.0
136 -20.0 -140.0 10.0
137 -20.0 -160.0 10.0
138 -20.0 -180.0 10.0
139 -20.0 -200.0 10.0
140 -20.0 -220.0 10.0
141 -20.0 -240.0 10.0
142 -20.0 -260.0 10.0
143 -20.0 -280.0 10.0
144 -20.0 -300.0 10.0
145 -20.0 -320.0 10.0
146 -20.0 -340.0 10.0
147 -20.0 -360.0 10.0
148 -20.0 -380.0 10.0
149 -20.0 -400.0 10.0
150 -20.0 -420.0 10.0
151 -20.0 -440.0 10.0
152 -20.0 -460.0 10.0
153 -20.0 -480.0 10.0
154 -20.0 -500.0 10.0
155 -20.0 -520.0 10.0
156 -20.0 -540.0 10.0
157 -20.0 -560.0 10.0
158 -20.0 -580.0 10.0
159 -20.0 -600.0 10.0
160 -20.0 -620.0 10.0
161 -20.0 -640.0 10.0
162 -20.0 -660.0 10.0
163 -20.0 -680.0 10.0
164 -20.0 -700.0 10.0
165 -20.0 -720.0 10.0
166 -20.0 -740.0 10.0
167 -20.0 -760.0 10.0
168 -20.0 -780.0 10.0
169 -20.0 -800.0 10.0
170 -20.0 -820.0 10.0
171 -20.0 -840.0 10.0
172 0.0 0.0 10.0
173 0.0 -20.0 10.0
174 0.0 -40.0 10.0
175 0.0 -60.0 10.0
176 0.0 -80.0 10.0
177 0.0 -100.0 10.0
178 0.0 -120.0 10.0
179 0.0 -140.0 10.0
180 0.0 -160.0 10.0
181 0.0 -180.0 10.0
182 0.0 -200.0 10.0
183 0.0 -220.0 10.0
184 0.0 -240.0 10.0
185 0.0 -260.0 10.0
186 0.0 -280.0 10.0
187 0.0 -300.0 10.0
188 0.0 -320.0 10.0
189 0.0 -340.0 10.0
190 0.0 -360.0 10.0
191 0.0 -380.0 10.0
192 0.0 -400.0 10.0
193 0.0 -420.0 10.0
194 0.0 -440.0 10.0
195 0.0 -460.0 10.0
196 0.0 -480.0 10.0
197 0.0 -500.0 10.0
198 0.0 -520.0 10.0
199 0.0 -540.0 10.0
200 0.0 -560.0 10.0
201 0.0 -580.0 10.0
202 0.0 -600.0 10.0
203 0.0 -620.0 10.0
204 0.0 -640.0 10.0
205 0.0 -660.0 10.0
206 0.0 -680.0 10.0
207 0.0 -700.0 10.0
208 0.0 -720.0 10.0
209 0.0 -740.0 10.0
210 0.0 -760.0 10.0
211 0.0 -780.0 10.0
212 0.0 -800.0 10.0
213 0.0 -820.0 10.0
214 0.0 -840.0 10.0
215 20.0 0.0 10.0
216 20.0 -20.0 10.0
217 20.0 -40.0 10.0
218 20.0 -60.0 10.0
219 20.0 -80.0 10.0
220 20.0 -100.0 10.0
221 20.0 -120.0 10.0
222 20.0 -140.0 10.0
223 20.0 -160.0 10.0
224 20.0 -180.0 10.0
225 20.0 -200.0 10.0
226 20.0 -220.0 10.0
227 20.0 -240.0 10.0
228 20.0 -260.0 10.0
229 20.0 -280.0 10.0
230 20.0 -300.0 10.0
231 20.0 -320.0 10.0
232 20.0 -340.0 10.0
233 20.0 -360.0 10.0
234 20.0 -380.0 10.0
235 20.0 -400.0 10.0
236 20.0 -420.0 10.0
237 20.0 -440.0 10.0
238 20.0 -460.0 10.0
239 20.0 -480.0 10.0
240 20.0 -500.0 10.0
241 20.0 -520.0 10.0
242 20.0 -540.0 10.0
243 20.0 -560.0 10.0
244 20.0 -580.0 10.0
245 20.0 -600.0 10.0
246 20.0 -620.0 10.0
247 20.0 -640.0 10.0
248 20.0 -660.0 10.0
249 20.0 -680.0 10.0
250 20.0 -700.0 10.0
251 20.0 -720.0 10.0
252 20.0 -740.0 10.0
253 20.0 -760.0 10.0
254 20.0 -780.0 10.0
255 20.0 -800.0 10.0
256 20.0 -820.0 10.0
257 20.0 -840.0 10.0
258 40.0 0.0 10.0
259 40.0 -20.0 10.0
260 40.0 -40.0 10.0
261 40.0 -60.0 10.0
262 40.0 -80.0 10.0
263 40.0 -100.0 10.0
264 40.0 -120.0 10.0
265 40.0 -140.0 10.0
266 40.0 -160.0 10.0
267 40.0 -180.0 10.0
268 40.0 -200.0 10.0
269 40.0 -220.0 10.0
270 40.0 -240.0 10.0
271 40.0 -260.0 10.0
272 40.0 -280.0 10.0
273 40.0 -300.0 10.0
274 40.0 -320.0 10.0
275 40.0 -340.0 10.0
276 40.0 -360.0 10.0
277 40.0 -380.0 10.0
278 40.0 -400.0 10.0
279 40.0 -420.0 10.0
280 40.0 -440.0 10.0
281 40.0 -460.0 10.0
282 40.0 -480.0 10.0
283 40.0 -500.0 10.0
284 40.0 -520.0 10.0
285 40.0 -540.0 10.0
286 40.0 -560.0 10.0
287 40.0 -580.0 10.0
288 40.0 -600.0 10.0
289 40.0 -620.0 10.0
290 40.0 -640.0 10.0
291 40.0 -660.0 10.0
292 40.0 -680.0 10.0
293 40.0 -700.0 10.0
294 40.0 -720.0 10.0
295 40.0 -740.0 10.0
296 40.0 -760.0 10.0
297 40.0 -780.0 10.0
298 40.0 -800.0 10.0
299 40.0 -820.0 10.0
300 40.0 -840.0 10.0
301 60.0 0.0 10.0
302 60.0 -20.0 10.0
303 60.0 -40.0 10.0
304 60.0 -60.0 10.0
305 60.0 -80.0 10.0
306 60.0 -100.0 10.0
307 60.0 -120.0 10.0
308 60.0 -140.0 10.0
309 60.0 -160.0 10.0
310 60.0 -180.0 10.0
311 60.0 -200.0 10.0
312 60.0 -220.0 10.0
313 60.0 -240.0 10.0
314 60.0 -260.0 10.0
315 60.0 -280.0 10.0
316 60.0 -300.0 10.0
317 60.0 -320.0 10.0
318 60.0 -340.0 10.0
319 60.0 -360.0 10.0
320 60.0 -380.0 10.0
321 60.0 -400.0 10.0
322 60.0 -420.0 10.0
323 60.0 -440.0 10.0
324 60.0 -460.0 10.0
325 60.0 -480.0 10.0
326 60.0 -500.0 10.0
327 60.0 -520.0 10.0
328 60.0 -540.0 10.0
329 60.0 -560.0 10.0
330 60.0 -580.0 10.0
331 60.0 -600.0 10.0
332 60.0 -620.0 10.0
333 60.0 -640.0 10.0
334 60.0 -660.0 10.0
335 60.0 -680.0 10.0
336 60.0 -700.0 10.0
337 60.0 -720.0 10.0
338 60.0 -740.0 10.0
339 60.0 -760.0 10.0
340 60.0 -780.0 10.0
341 60.0 -800.0 10.0
342 60.0 -820.0 10.0
343 60.0 -840.0 10.0
344 80.0 0.0 10.0
345 80.0 -20.0 10.0
346 80.0 -40.0 10.0
347 80.0 -60.0 10.0
348 80.0 -80.0 10.0
349 80.0 -100.0 10.0
350 80.0 -120.0 10.0
351 80.0 -140.0 10.0
352 80.0 -160.0 10.0
353 80.0 -180.0 10.0
354 80.0 -200.0 10.0
355 80.0 -220.0 10.0
356 80.0 -240.0 10.0
357 80.0 -260.0 10.0
358 80.0 -280.0 10.0
359 80.0 -300.0 10.0
360 80.0 -320.0 10.0
361 80.0 -340.0 10.0
362 80.0 -360.0 10.0
363 80.0 -380.0 10.0
364 80.0 -400.0 10.0
365 80.0 -420.0 10.0
366 80.0 -440.0 10.0
367 80.0 -460.0 10.0
368 80.0 -480.0 10.0
369 80.0 -500.0 10.0
370 80.0 -520.0 10.0
371 80.0 -540.0 10.0
372 80.0 -560.0 10.0
373 80.0 -580.0 10.0
374 80.0 -600.0 10.0
375 80.0 -620.0 10.0
376 80.0 -640.0 10.0
377 80.0 -660.0 10.0
378 80.0 -680.0 10.0
379 80.0 -700.0 10.0
380 80.0 -720.0 10.0
381 80.0 -740.0 10.0
382 80.0 -760.0 10.0
383 80.0 -780.0 10.0
384 80.0 -800.0 10.0
385 80.0 -820.0 10.0
386 80.0 -840.0 10.0
