edge_type_id target_query source_query delay dynamics_params template
30 pop_name=='Rorb' * 2.0 AMPA_ExcToExc.json Exp2Syn
31 pop_name=='Nr5a1' * 2.0 AMPA_ExcToExc.json Exp2Syn
32 pop_name=='Scnn1a' * 2.0 AMPA_ExcToExc.json Exp2Syn
33 pop_name=='PV1' * 2.0 AMPA_ExcToInh.json Exp2Syn
34 pop_name=='PV2' * 2.0 AMPA_ExcToInh.json Exp2Syn
35 pop_name=='LIF_exc' * 2.0 instanteneousExc.json NULL
36 pop_name=='LIF_inh' * 2.0 instanteneousExc.json NULL
