edge_type_id target_query source_query weight_max weight_function delay params_file synapse_model
6 pop_name=='Rorb' * 12.75 wmax 2.0 ExcToExc.json static_synapse
7 pop_name=='PV1' * 83.6 wmax 2.0 ExcToInh.json static_synapse
